Meetings_Scheduled,Meetings_Attended,Attendance,Punctuality,Sprint_Completion,Task_Quality,On_Time_Delivery,Communication,Tasks_Assigned,Tasks_Completed,Task_Completion_Rate,On_Time_Delivery_Rate,Overall_Quality_Score,Communication_Level,Is_Punctual,Meeting_Attendance_Rate,Performance_Index,Attendance_Consistency
49,20,40,1,41,46,71,5,9,3,0.3333333333333333,0.71,43.5,0.5,1,40.816326530612244,47.833333333333336,0.7
45,22,48,0,40,60,54,1,11,6,0.5454545454545454,0.54,50.0,0.1,0,48.888888888888886,52.13636363636363,0.24
20,19,95,1,94,95,76,6,13,12,0.9230769230769231,0.76,94.5,0.6,1,95.0,89.32692307692307,0.975
32,20,62,0,85,78,69,5,11,8,0.7272727272727273,0.69,81.5,0.5,0,62.5,76.18181818181819,0.31
21,18,85,0,76,89,83,8,10,9,0.9,0.83,82.5,0.8,0,85.71428571428571,84.5,0.425
40,24,60,0,42,56,42,4,9,5,0.5555555555555556,0.42,49.0,0.4,0,60.0,48.888888888888886,0.3
22,20,90,1,83,83,95,9,8,7,0.875,0.95,83.0,0.9,1,90.9090909090909,87.12500000000001,0.95
30,18,60,1,68,57,48,3,8,4,0.5,0.48,62.5,0.3,1,60.0,55.75,0.8
48,46,95,1,80,76,78,6,8,7,0.875,0.78,78.0,0.6,1,95.83333333333334,80.375,0.975
45,40,88,1,77,90,74,7,10,9,0.9,0.74,83.5,0.7,1,88.88888888888889,82.74999999999999,0.94
22,13,59,0,44,73,45,4,10,4,0.4,0.45,58.5,0.4,0,59.09090909090909,50.5,0.295
31,20,64,1,65,85,70,5,11,7,0.6363636363636364,0.7,75.0,0.5,1,64.51612903225806,70.9090909090909,0.8200000000000001
32,25,78,1,60,62,86,7,10,6,0.6,0.86,61.0,0.7,1,78.125,67.0,0.89
26,25,96,1,84,94,83,9,14,13,0.9285714285714286,0.83,89.0,0.9,1,96.15384615384616,88.46428571428571,0.98
32,20,62,0,72,75,77,6,12,9,0.75,0.77,73.5,0.6,0,62.5,74.75,0.31
20,15,75,1,65,65,74,5,12,10,0.8333333333333334,0.74,65.0,0.5,1,75.0,71.83333333333333,0.875
21,16,76,1,70,73,88,6,11,7,0.6363636363636364,0.88,71.5,0.6,1,76.19047619047619,73.6590909090909,0.88
20,16,80,1,66,77,69,8,8,5,0.625,0.69,71.5,0.8,1,80.0,68.625,0.9
48,21,43,1,54,59,70,4,8,3,0.375,0.7,56.5,0.4,1,43.75,55.125,0.715
28,25,89,1,95,75,70,6,9,8,0.8888888888888888,0.7,85.0,0.6,1,89.28571428571429,82.22222222222221,0.9450000000000001
33,32,96,0,87,95,76,9,10,9,0.9,0.76,91.0,0.9,0,96.96969696969697,86.99999999999999,0.48
47,40,85,1,83,93,99,8,11,10,0.9090909090909091,0.99,88.0,0.8,1,85.1063829787234,91.47727272727273,0.925
44,21,47,1,40,71,47,3,11,5,0.45454545454545453,0.47,55.5,0.3,1,47.72727272727273,50.86363636363635,0.735
30,14,46,1,57,59,52,1,9,5,0.5555555555555556,0.52,58.0,0.1,1,46.666666666666664,55.888888888888886,0.73
47,45,95,0,82,80,76,9,14,12,0.8571428571428571,0.76,81.0,0.9,0,95.74468085106383,80.92857142857144,0.475
