Meetings_Scheduled,Meetings_Attended,Attendance,Punctuality,Sprint_Completion,Task_Quality,On_Time_Delivery,Communication,Tasks_Assigned,Tasks_Completed,Performance
37,18,48,0,68,66,48,3,10,4,Low
27,14,51,1,50,64,60,2,10,5,Low
38,33,86,0,88,99,70,9,12,11,Low
38,32,84,0,93,99,90,9,13,12,High
41,32,78,1,68,55,73,4,11,7,Medium
43,30,69,0,77,63,88,7,14,11,Medium
43,26,60,0,72,50,61,3,13,6,Low
33,28,84,1,95,87,83,7,13,12,High
43,38,88,1,78,88,96,8,12,11,High
45,23,51,0,42,66,44,6,12,6,Low
39,20,51,0,43,62,40,1,10,6,Low
33,13,39,1,51,73,64,5,8,4,Low
39,21,53,1,60,70,58,3,9,5,Low
22,19,86,0,88,89,83,6,9,8,High
29,25,86,0,98,98,90,7,12,10,High
20,14,70,0,85,66,78,8,14,12,Medium
30,20,66,1,77,59,64,4,12,8,Medium
40,16,40,0,54,45,58,1,8,5,Low
27,20,74,0,64,59,74,7,8,6,Medium
38,21,55,1,63,63,49,2,11,4,Low
44,32,72,1,88,76,75,4,14,10,Medium
39,33,84,0,78,86,85,6,11,10,High
33,21,63,1,62,66,60,1,9,4,Low
20,17,85,1,86,84,96,6,12,11,High
44,34,77,1,71,79,66,5,10,8,Medium
31,29,93,1,95,79,73,9,11,10,High
37,32,86,1,92,99,89,8,10,9,High
36,34,94,0,80,81,80,6,14,13,High
43,37,86,1,76,94,82,8,11,10,High
29,24,82,0,82,75,70,7,14,12,High
37,35,94,1,75,99,89,8,13,12,High
21,20,95,0,89,90,75,7,13,12,High
27,17,62,0,64,55,62,4,9,4,Low
43,21,48,1,65,47,70,5,11,5,High
48,47,97,1,84,97,96,6,9,8,High
22,20,90,1,83,94,80,8,12,11,Low
43,38,88,1,76,89,86,8,10,9,High
44,23,52,1,61,45,43,2,12,4,Low
29,28,96,1,84,93,87,7,14,12,High
46,44,95,1,97,96,71,8,8,7,High
22,19,86,1,88,95,94,7,12,10,High
49,29,59,0,70,73,81,6,11,9,Medium
22,21,95,1,88,79,95,6,9,8,High
25,19,76,1,80,57,72,4,10,6,Medium
33,18,54,1,46,68,71,1,14,9,Low
31,18,58,1,67,58,85,6,9,5,Medium
47,45,95,1,93,91,89,6,9,8,High
39,30,76,0,85,64,82,4,9,5,Medium
40,26,65,1,75,89,69,8,10,8,Medium
37,36,97,1,92,84,90,8,14,13,High
35,22,62,1,81,62,81,6,13,11,Medium
20,15,75,0,85,62,74,5,14,9,Medium
30,23,76,1,73,78,75,5,14,11,Medium
40,34,85,1,83,78,85,9,8,7,Medium
39,38,97,1,89,88,80,6,9,8,High
24,21,87,1,96,91,81,7,14,12,High
23,21,91,1,83,84,75,6,9,8,High
35,21,60,1,53,59,63,4,14,6,Low
48,46,95,1,93,81,72,8,9,8,High
37,22,59,1,71,79,53,5,14,10,High
46,21,45,1,62,57,51,2,14,7,Low
29,24,82,0,78,75,78,9,8,7,High
27,24,88,1,85,84,93,7,11,10,High
34,19,55,1,41,49,57,1,11,6,Low
44,19,43,1,59,69,52,2,10,5,Low
42,37,88,1,79,82,80,6,8,7,High
40,22,55,1,45,55,71,5,12,6,Low
48,21,43,1,51,69,43,3,12,7,Low
40,22,55,0,47,57,59,6,13,7,Low
31,25,80,0,87,78,89,8,10,8,Medium
