Meetings_Scheduled,Meetings_Attended,Attendance,Punctuality,Sprint_Completion,Task_Quality,On_Time_Delivery,Communication,Tasks_Assigned,Tasks_Completed,Performance
29,16,55,0,54,68,73,1,12,6,Low
41,37,90,1,79,89,85,7,9,8,High
42,30,71,1,56,86,51,8,14,10,Medium
39,23,58,1,71,56,61,2,12,7,Low
33,20,60,1,65,85,58,6,14,10,Medium
25,15,60,0,72,85,52,8,10,6,Medium
46,44,95,0,98,94,70,6,11,10,High
42,24,57,1,73,64,41,2,14,6,Low
36,20,55,1,45,56,74,5,9,4,Low
40,27,67,1,77,72,74,4,12,9,Medium
48,39,81,0,86,72,60,4,9,6,Medium
39,21,53,1,63,61,44,3,10,5,Low
31,28,90,0,85,90,95,6,13,11,High
38,33,86,1,91,78,77,9,12,11,High
45,44,97,0,98,78,71,6,8,7,High
21,14,66,0,62,88,75,8,9,6,Medium
39,20,51,0,74,55,58,4,12,5,Low
36,30,83,0,89,94,86,9,11,10,High
20,13,65,1,65,74,89,8,8,5,Medium
27,25,92,1,97,80,97,8,12,11,High
40,27,67,1,88,66,50,4,13,10,Medium
31,16,51,0,66,61,41,4,9,4,Low
38,34,89,1,97,98,92,8,14,12,High
30,22,73,1,88,86,63,5,12,9,Medium
44,29,65,0,80,75,52,5,10,8,Medium
24,21,87,1,90,82,80,8,14,13,High
37,34,91,0,75,89,78,7,12,11,High
28,25,89,0,97,98,87,8,9,8,High
35,31,88,1,82,92,98,8,12,11,High
33,31,93,1,77,81,89,8,8,7,High
42,41,97,1,89,85,82,9,8,7,High
45,18,40,1,40,71,66,3,8,3,Medium
39,25,64,0,69,76,59,6,13,10,Medium
29,23,79,1,55,58,51,6,12,8,Medium
35,27,77,1,67,83,74,8,12,10,Medium
24,14,58,1,42,72,53,1,11,6,Low
35,20,57,1,67,49,42,2,8,4,Low
49,35,71,1,65,55,89,7,14,10,Medium
47,42,89,1,95,78,95,7,9,8,High
27,26,96,1,99,89,92,9,11,10,High
26,17,65,1,70,71,79,4,9,6,Medium
49,31,63,0,71,84,81,4,11,9,Medium
48,36,75,1,73,84,67,8,9,6,Medium
42,32,76,1,56,76,71,5,12,8,Medium
20,15,75,1,62,68,77,8,8,5,Medium
32,19,59,1,62,79,80,5,11,7,Medium
25,22,88,1,83,81,85,8,9,8,High
44,22,50,1,55,54,68,2,14,8,Low
33,15,45,1,61,58,41,2,9,4,Low
21,9,42,1,57,73,66,1,8,3,Low
32,30,93,0,98,91,74,8,12,10,High
48,43,89,1,78,96,72,9,9,8,High
40,38,95,0,92,85,86,9,12,11,High
46,40,86,1,76,88,75,9,12,11,High
42,40,95,0,82,98,76,9,8,7,High
32,24,75,1,62,67,77,8,9,7,Medium
24,23,95,0,76,78,89,9,11,10,High
34,31,91,0,85,98,92,9,13,12,High
27,26,96,1,84,79,85,8,11,10,High
26,15,57,0,57,82,88,7,10,7,Medium
40,18,45,1,51,47,53,4,9,4,Low
23,18,78,0,68,61,67,6,13,9,Medium
32,16,50,1,43,53,41,2,12,5,Low
45,44,97,1,80,77,89,9,14,13,High
35,16,45,1,48,73,58,3,11,5,Low
46,40,86,1,93,77,96,8,14,12,High
27,13,48,1,51,45,53,1,8,4,Low
43,38,88,0,87,81,73,7,8,7,High
46,25,54,0,45,53,43,1,12,7,Low
32,25,78,1,89,58,55,7,8,5,Medium
28,22,78,1,62,68,79,8,9,7,Medium
38,32,84,1,78,99,98,8,8,7,High
39,37,94,0,77,99,93,7,8,7,High
23,20,86,0,92,81,77,9,12,11,High
21,12,57,0,52,57,58,4,10,6,Low
24,19,79,1,73,57,51,8,9,7,Medium
26,24,92,1,97,85,86,9,12,11,High
20,18,90,1,89,78,86,7,13,12,High
37,35,94,1,94,86,97,8,9,8,High
40,35,87,1,86,96,87,8,14,12,High
29,17,58,0,74,72,59,4,8,5,Medium
33,20,60,1,42,52,52,4,13,6,Low
33,26,78,1,60,82,54,7,9,8,Medium
40,32,80,1,84,73,74,8,12,7,Medium
32,31,96,1,97,92,88,6,9,8,High
28,24,85,1,97,96,90,8,11,9,High
31,25,80,0,73,56,71,8,13,11,Medium
33,20,60,0,77,64,78,7,10,7,Medium
26,14,53,1,50,60,67,2,11,4,Low
44,28,63,1,86,65,54,6,14,9,Medium
21,15,71,0,57,73,66,4,10,8,Medium
29,24,82,1,68,82,66,6,13,8,Medium
46,35,76,0,64,86,66,4,8,7,Medium
44,28,63,1,45,53,57,4,9,4,Low
48,35,72,1,73,70,54,8,11,8,Medium
30,23,76,1,66,82,64,8,10,8,Medium
20,12,60,0,54,50,62,6,8,4,Low
36,31,86,1,75,80,72,9,11,10,High
47,40,85,1,87,96,87,7,9,8,High
36,21,58,1,69,56,69,5,8,6,Medium
39,29,74,1,82,65,74,6,13,9,Medium
30,16,53,1,45,59,42,3,14,7,Low
42,32,76,1,83,67,82,4,12,9,Medium
38,15,39,1,56,68,60,4,11,5,Low
23,9,39,1,55,59,51,1,11,4,Low
31,30,96,1,92,76,83,7,9,8,High
44,37,84,0,59,71,62,8,9,6,Medium
49,39,79,1,83,77,58,4,11,9,Medium
40,18,45,1,41,67,50,6,8,4,Low
39,32,82,1,66,66,87,7,13,11,Medium
44,32,72,0,70,73,89,6,9,7,Medium
42,40,95,1,88,79,91,6,14,12,High
42,39,92,0,86,99,83,9,11,10,High
21,13,61,1,58,83,68,4,13,11,Medium
28,26,92,1,99,95,75,8,13,12,High
21,19,90,0,79,84,74,9,10,9,High
35,22,62,0,74,63,67,7,14,11,Medium
25,21,84,1,99,75,99,6,10,9,High
45,34,75,1,82,78,82,4,14,10,Medium
29,18,62,0,68,78,77,8,14,10,Medium
29,26,89,0,81,75,90,6,9,8,High
32,25,78,0,75,55,69,7,9,6,Medium
35,22,62,1,40,47,65,2,13,7,Low
34,32,94,1,86,77,85,6,13,11,High
22,10,45,1,49,54,67,5,13,5,Low
28,20,71,1,70,72,86,5,13,11,Medium
25,14,56,1,48,45,46,3,12,5,Low
30,18,60,1,72,63,70,5,13,9,Medium
25,20,80,1,60,57,78,8,9,5,Medium
47,29,61,1,65,69,51,6,11,7,Medium
46,37,80,1,56,66,83,7,8,5,Medium
47,42,89,1,89,78,82,8,12,11,High
43,26,60,0,57,62,50,6,9,7,Medium
42,23,54,1,57,51,52,1,11,5,Low
48,36,75,1,75,66,52,6,13,8,Medium
26,21,80,1,80,62,83,6,10,6,Medium
25,16,64,1,67,62,70,7,12,9,Medium
42,19,45,1,58,57,49,6,11,5,Low
20,14,70,1,58,63,81,8,12,8,Medium
38,27,71,1,85,65,63,5,12,9,Medium
26,25,96,1,78,81,97,8,13,12,High
32,22,68,0,62,68,72,6,14,11,Medium
42,19,45,1,56,67,53,2,9,3,Low
21,13,61,1,44,54,59,2,14,6,Low
32,22,68,0,80,55,51,6,13,10,Medium
20,19,95,1,85,87,81,6,12,11,High
43,38,88,1,84,77,87,7,9,8,High
29,27,93,1,88,78,76,9,13,12,High
38,33,86,1,93,88,98,8,10,9,High
34,25,73,1,64,66,64,8,9,6,Medium
42,37,88,1,82,75,78,7,9,8,High
28,20,71,1,57,87,84,4,9,7,Medium
36,33,91,1,81,84,94,9,14,13,High
46,27,58,0,46,58,56,4,12,5,Low
42,28,66,0,81,63,58,6,9,7,Medium
33,24,72,0,80,87,54,4,10,8,Medium
20,19,95,0,84,95,70,6,12,10,High
32,19,59,0,80,57,68,8,12,8,Medium
42,31,73,1,55,62,60,4,8,6,Medium
29,28,96,1,84,77,79,6,14,13,High
20,16,80,1,87,66,85,5,9,6,Medium
30,27,90,1,88,85,81,8,12,11,High
34,32,94,0,90,99,83,9,9,8,High
34,31,91,1,94,99,93,7,10,9,High
46,30,65,1,85,59,61,8,8,7,Medium
49,35,71,1,71,72,80,4,13,9,Medium
31,16,51,0,58,54,64,4,13,8,Low
21,12,57,0,49,62,55,1,11,5,Low
37,30,81,0,70,77,73,8,14,9,High
35,30,85,1,93,88,97,6,12,11,High
22,12,54,1,40,60,45,6,8,4,Low
45,25,55,0,58,62,66,2,11,5,Low
21,16,76,1,67,76,52,7,11,9,Medium
31,14,45,1,47,51,74,5,10,4,Low
21,20,95,1,94,76,77,6,11,10,High
37,26,70,0,68,60,88,7,14,9,Medium
21,20,95,1,82,75,79,6,14,13,High
34,25,73,1,55,55,55,7,10,8,Medium
46,27,58,0,48,56,45,6,14,6,Low
20,18,90,1,98,95,94,6,14,13,High
20,15,75,1,63,88,77,6,9,6,Medium
36,23,63,1,65,65,82,6,12,9,Medium
46,22,47,0,53,58,64,2,10,6,Low
30,22,73,0,85,65,60,4,13,11,Medium
42,18,42,1,51,58,71,2,10,6,Low
26,12,46,1,40,50,72,1,12,6,Low
23,9,39,1,65,56,42,1,13,6,Low
22,14,63,1,84,65,73,8,12,9,Medium
47,29,61,0,77,65,74,6,14,11,Medium
22,10,45,0,45,53,52,5,12,7,Low
41,19,46,1,57,72,74,4,11,4,Low
38,35,92,0,92,91,94,6,12,11,High
24,21,87,1,93,89,81,6,10,9,High
30,12,40,0,57,51,66,1,13,6,Low
25,18,72,1,73,63,79,8,11,8,Medium
39,24,61,1,67,79,60,6,12,8,Medium
49,48,97,1,91,81,80,8,8,7,High
41,26,63,1,76,62,76,8,13,11,Medium
31,14,45,1,52,46,40,5,13,6,Low
31,22,70,0,83,62,70,8,12,9,Medium
23,19,82,1,86,79,75,7,9,8,High
40,18,45,1,74,74,59,3,12,7,Medium
31,19,61,1,46,47,49,3,10,6,Low
46,27,58,1,48,59,68,2,9,3,Low
43,20,46,1,47,74,44,5,8,3,Low
46,43,93,1,91,90,79,9,14,13,High
29,25,86,1,82,81,92,7,9,8,High
25,19,76,1,71,73,69,4,13,9,Medium
25,21,84,1,94,89,83,8,12,11,High
49,20,40,0,55,70,74,4,14,5,Low
29,23,79,1,57,74,85,8,13,11,Medium
44,43,97,0,82,87,82,9,11,9,High
42,18,42,0,48,48,51,5,14,8,Medium
41,27,65,1,76,73,75,5,9,7,Medium
45,21,46,1,51,71,42,6,14,8,Low
33,28,84,1,83,97,89,7,12,10,High
35,29,82,1,71,68,60,6,10,7,Medium
29,20,68,1,75,59,77,8,12,7,Medium
47,21,44,1,40,65,61,4,12,5,Low
